CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
101109527,12/31/2015,23:45:00,,,12/31/2015,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44,INSIDE,BAR/NIGHT CLUB,,,1007314,241257,40.828848333,-73.916661142,"(40.828848333, -73.916661142)"
153401121,12/31/2015,23:36:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,OUTSIDE,,,,1043991,193406,40.697338138,-73.784556739,"(40.697338138, -73.784556739)"
569369778,12/31/2015,23:30:00,,,12/31/2015,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,,OTHER,,,999463,231690,40.802606608,-73.945051911,"(40.802606608, -73.945051911)"
968417082,12/31/2015,23:30:00,,,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,,,1060183,177862,40.654549444,-73.726338791,"(40.654549444, -73.726338791)"
641637920,12/31/2015,23:25:00,12/31/2015,23:30:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,FRONT OF,OTHER,,,987606,208148,40.7380024,-73.98789129,"(40.7380024, -73.98789129)"
365661343,12/31/2015,23:18:00,12/31/2015,23:25:00,12/31/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71,FRONT OF,DRUG STORE,,,996149,181562,40.665022689,-73.957110763,"(40.665022689, -73.957110763)"
608231454,12/31/2015,23:15:00,,,12/31/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,OPPOSITE OF,STREET,,,987373,201662,40.720199996,-73.988735082,"(40.720199996, -73.988735082)"
265023856,12/31/2015,23:15:00,12/31/2015,23:15:00,12/31/2015,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,FRONT OF,STREET,,,1009041,247401,40.845707148,-73.910398033,"(40.845707148, -73.910398033)"
989238731,12/31/2015,23:15:00,12/31/2015,23:30:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1014154,251416,40.856711291,-73.891899956,"(40.856711291, -73.891899956)"
415095955,12/31/2015,23:10:00,12/31/2015,23:10:00,12/31/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,DRUG STORE,,,994327,218211,40.765617688,-73.96362342,"(40.765617688, -73.96362342)"
731283092,12/31/2015,23:05:00,12/31/2015,23:15:00,12/31/2015,341,PETIT LARCENY,343,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,FAST FOOD,,,1014216,238784,40.822039935,-73.891732267,"(40.822039935, -73.891732267)"
178090167,12/31/2015,23:00:00,12/31/2015,23:05:00,12/31/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESTAURANT/DINER,,,988113,206263,40.732828332,-73.986062857,"(40.732828332, -73.986062857)"
898496564,12/31/2015,23:00:00,,,12/31/2015,109,GRAND LARCENY,406,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,,STREET,,,987215,215403,40.757915693,-73.98929902,"(40.757915693, -73.98929902)"
566081066,12/31/2015,23:00:00,,,12/31/2015,109,GRAND LARCENY,415,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,,STREET,,,987215,215403,40.757915693,-73.98929902,"(40.757915693, -73.98929902)"
584555879,12/31/2015,23:00:00,,,12/31/2015,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,,,1004325,174113,40.644562053,-73.92766205,"(40.644562053, -73.92766205)"
715942154,12/31/2015,23:00:00,12/31/2015,23:05:00,12/31/2015,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,INSIDE,BAR/NIGHT CLUB,,,1044662,197327,40.708095777,-73.78210174,"(40.708095777, -73.78210174)"
338440707,12/31/2015,23:00:00,12/31/2015,23:10:00,12/31/2015,109,GRAND LARCENY,411,"LARCENY,GRAND FROM EATERY, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESTAURANT/DINER,,,993034,214414,40.755197275,-73.968296117,"(40.755197275, -73.968296117)"
433257334,12/31/2015,23:00:00,12/31/2015,23:05:00,12/31/2015,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,,,1014139,251858,40.857924499,-73.89195221,"(40.857924499, -73.89195221)"
761004485,12/31/2015,23:00:00,12/31/2015,23:05:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE - APT. HOUSE,,,993932,160170,40.606308897,-73.965132766,"(40.606308897, -73.965132766)"
234892198,12/31/2015,22:55:00,12/31/2015,23:10:00,12/31/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,102,FRONT OF,DRY CLEANER/LAUNDRY,,,1022298,186863,40.679498977,-73.862825258,"(40.679498977, -73.862825258)"
231688534,12/31/2015,22:53:00,12/31/2015,22:55:00,12/31/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,,STREET,,,995387,178144,40.655642023,-73.959863084,"(40.655642023, -73.959863084)"
340513307,04/06/2015,12:00:00,04/10/2015,18:00:00,12/21/2015,104,RAPE,155,RAPE 2,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110,INSIDE,OTHER,,,,,,,
704037588,12/31/2015,22:50:00,12/31/2015,22:57:00,12/31/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,,STREET,,,1012629,212283,40.749307045,-73.897578152,"(40.749307045, -73.897578152)"
549465293,12/31/2015,22:50:00,12/31/2015,22:58:00,12/31/2015,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1018309,183847,40.67123699,-73.877222202,"(40.67123699, -73.877222202)"
693907266,12/31/2015,22:45:00,12/31/2015,22:50:00,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,PUBLIC BUILDING,,,1008202,179835,40.660258056,-73.913671137,"(40.660258056, -73.913671137)"
371600116,12/31/2015,22:45:00,12/31/2015,22:50:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,60,FRONT OF,RESTAURANT/DINER,,,992099,152792,40.586059585,-73.971742687,"(40.586059585, -73.971742687)"
359273994,12/31/2015,22:45:00,12/31/2015,22:55:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68,INSIDE,RESIDENCE-HOUSE,,,978368,169905,40.633032786,-74.02119331,"(40.633032786, -74.02119331)"
415805453,12/31/2015,22:45:00,,,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1014100,183318,40.669800195,-73.892397547,"(40.669800195, -73.892397547)"
251546004,12/31/2015,22:40:00,12/31/2015,22:50:00,12/31/2015,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,79,INSIDE,RESIDENCE - PUBLIC HOUSING,,MARCY,998273,193029,40.696493892,-73.949430815,"(40.696493892, -73.949430815)"
624630216,12/31/2015,22:40:00,12/31/2015,22:56:00,12/31/2015,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,,STREET,,,940334,166826,40.624474678,-74.158203285,"(40.624474678, -74.158203285)"
149811574,12/31/2015,22:37:00,12/31/2015,22:57:00,12/31/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1009069,244907,40.838861771,-73.910306061,"(40.838861771, -73.910306061)"
749998471,12/31/2015,22:35:00,12/31/2015,22:41:00,12/31/2015,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,FRONT OF,STREET,,,987559,201831,40.720663793,-73.988063995,"(40.720663793, -73.988063995)"
508630273,12/31/2015,22:35:00,12/31/2015,22:53:00,12/31/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,,998437,228299,40.793300943,-73.948764998,"(40.793300943, -73.948764998)"
975743412,12/31/2015,22:30:00,12/31/2015,22:45:00,12/31/2015,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,,UNION AVENUE-EAST 166TH STREET,1011824,240352,40.826351439,-73.900368274,"(40.826351439, -73.900368274)"
590638275,12/31/2015,22:30:00,,,12/31/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,,PARK/PLAYGROUND,MADISON SQUARE PARK,,987964,209889,40.74278087,-73.986598482,"(40.74278087, -73.986598482)"
185691443,12/31/2015,22:30:00,12/31/2015,22:45:00,12/31/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE-HOUSE,,,1015674,216963,40.762142149,-73.886566512,"(40.762142149, -73.886566512)"
824663386,12/31/2015,22:30:00,12/31/2015,23:00:00,12/31/2015,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRIS I,1010337,243009,40.833648657,-73.905730918,"(40.833648657, -73.905730918)"
534959121,12/31/2015,22:27:00,12/31/2015,22:30:00,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,,STREET,,,1017085,257207,40.872595407,-73.881276175,"(40.872595407, -73.881276175)"
448659551,12/31/2015,22:25:00,,,12/31/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,FRONT OF,PARKING LOT/GARAGE (PUBLIC),,,960587,156875,40.597238485,-74.085209605,"(40.597238485, -74.085209605)"
998429019,12/31/2015,22:22:00,12/31/2015,22:50:00,12/31/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,FRONT OF,RESIDENCE - APT. HOUSE,,,981309,200788,40.717801138,-74.010610857,"(40.717801138, -74.010610857)"
221366121,12/31/2015,22:20:00,12/31/2015,22:30:00,12/31/2015,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,GAS STATION,,,978339,174226,40.64489299,-74.021301578,"(40.64489299, -74.021301578)"
280765300,12/31/2015,22:20:00,12/31/2015,22:47:00,12/31/2015,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,109,INSIDE,BAR/NIGHT CLUB,,,,,,,
915080831,12/31/2015,22:20:00,12/31/2015,22:25:00,12/31/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,24,FRONT OF,STREET,,,993373,229301,40.79605784,-73.967052307,"(40.79605784, -73.967052307)"
699918040,12/31/2015,22:20:00,12/31/2015,22:30:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1018309,183847,40.67123699,-73.877222202,"(40.67123699, -73.877222202)"
492283167,12/31/2015,22:15:00,,,12/31/2015,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,FRONT OF,RESIDENCE - APT. HOUSE,,,1005570,186646,40.678959455,-73.923136122,"(40.678959455, -73.923136122)"
886575789,12/31/2015,22:11:00,12/31/2015,22:15:00,12/31/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,90,FRONT OF,STREET,,,994735,198544,40.71163617,-73.962181187,"(40.71163617, -73.962181187)"
748742428,12/31/2015,22:10:00,12/31/2015,22:12:00,12/31/2015,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,112,REAR OF,FAST FOOD,,,1024527,198372,40.711078612,-73.854720141,"(40.711078612, -73.854720141)"
823000770,12/31/2015,22:03:00,,,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,FRONT OF,STREET,,,1022719,245908,40.841560311,-73.860969547,"(40.841560311, -73.860969547)"
978579954,12/31/2015,22:00:00,,,12/31/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,84,FRONT OF,RESIDENCE - PUBLIC HOUSING,,FARRAGUT,989298,194785,40.701323372,-73.981795711,"(40.701323372, -73.981795711)"
372582288,12/31/2015,22:00:00,12/31/2015,22:19:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,LA GUARDIA,987482,198516,40.711564939,-73.988343369,"(40.711564939, -73.988343369)"
598062257,12/31/2015,22:00:00,,,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,FRONT OF,STREET,,,1022719,245908,40.841560311,-73.860969547,"(40.841560311, -73.860969547)"
227323376,12/31/2015,22:00:00,,,12/31/2015,352,CRIMINAL TRESPASS,205,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE-HOUSE,,,1023291,258416,40.875888469,-73.858829418,"(40.875888469, -73.858829418)"
134672344,12/31/2015,22:00:00,12/31/2015,22:05:00,12/31/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,77,,STREET,,,1000310,183505,40.670349221,-73.942107558,"(40.670349221, -73.942107558)"
591783875,12/31/2015,22:00:00,12/31/2015,22:05:00,12/31/2015,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,FRONT OF,RESIDENCE - APT. HOUSE,,,1021129,212565,40.750049701,-73.866899103,"(40.750049701, -73.866899103)"
834212518,12/31/2015,22:00:00,12/31/2015,22:19:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,LA GUARDIA,987482,198516,40.711564939,-73.988343369,"(40.711564939, -73.988343369)"
368389376,12/31/2015,22:00:00,12/31/2015,22:05:00,12/31/2015,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,,STREET,,,1006523,184026,40.6717658,-73.919708915,"(40.6717658, -73.919708915)"
819217834,12/31/2015,22:00:00,12/31/2015,22:00:00,12/31/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,101,,STREET,,,1052790,156203,40.595160563,-73.753202947,"(40.595160563, -73.753202947)"
975280737,12/31/2015,22:00:00,12/31/2015,22:00:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,FRONT OF,STREET,,,1010977,187768,40.682024415,-73.903637746,"(40.682024415, -73.903637746)"
229815464,12/31/2015,22:00:00,12/31/2015,22:15:00,12/31/2015,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101,,STREET,,,1054484,156357,40.595569998,-73.747101634,"(40.595569998, -73.747101634)"
609719707,12/31/2015,21:55:00,12/31/2015,22:00:00,12/31/2015,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,90,INSIDE,RESIDENCE - PUBLIC HOUSING,,BORINQUEN PLAZA I,999941,195917,40.704417976,-73.943408842,"(40.704417976, -73.943408842)"
571827799,12/31/2015,21:50:00,,,12/31/2015,678,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,23,FRONT OF,STREET,,,1000148,228720,40.794453562,-73.942584715,"(40.794453562, -73.942584715)"
864956142,12/31/2015,21:50:00,12/31/2015,22:05:00,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,INSIDE,RESIDENCE - APT. HOUSE,,,1001964,186902,40.679670066,-73.936136211,"(40.679670066, -73.936136211)"
643336260,12/31/2015,21:46:00,,,12/31/2015,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,INSIDE,RESIDENCE - APT. HOUSE,,,1013371,182883,40.668608646,-73.895027337,"(40.668608646, -73.895027337)"
124480034,12/31/2015,21:45:00,,,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,FRONT OF,STREET,,,985572,207670,40.736690946,-73.995231092,"(40.736690946, -73.995231092)"
358737528,12/31/2015,21:45:00,12/31/2015,21:45:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,,,1052151,193948,40.698766949,-73.75512391,"(40.698766949, -73.75512391)"
346268403,12/31/2015,21:45:00,12/31/2015,21:50:00,12/31/2015,117,DANGEROUS DRUGS,521,"CONTROLLED SUBSTANCE, SALE 5",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,FRONT OF,STREET,,,952145,171452,40.637222738,-74.115677715,"(40.637222738, -74.115677715)"
952314337,12/31/2015,21:45:00,12/31/2015,22:08:00,12/31/2015,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,,STREET,,,998173,193694,40.69831932,-73.949790067,"(40.69831932, -73.949790067)"
620980847,12/31/2015,21:45:00,12/31/2015,22:00:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,72,FRONT OF,STREET,,,986704,180390,40.661813463,-73.991156275,"(40.661813463, -73.991156275)"
850629480,12/31/2015,21:40:00,12/31/2015,21:44:00,12/31/2015,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,995665,174040,40.644377079,-73.958868101,"(40.644377079, -73.958868101)"
178774233,12/31/2015,21:34:00,,,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,,STREET,,,943786,166999,40.624965966,-74.145768952,"(40.624965966, -74.145768952)"
615620286,12/31/2015,21:30:00,12/31/2015,21:36:00,12/31/2015,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,FRONT OF,TUNNEL,,,1000312,170808,40.635498723,-73.942130584,"(40.635498723, -73.942130584)"
