On Column: 2
Pattern: (2[0-3]|1[0-9]|0[0-9]|[^0-9][0-9]):([0-5][0-9]|[0-9]):([0-5][0-9]|[0-9])
-----------------------------
Column      Contents
377121542   24:00:00
238162576   24:00:00
880282041   24:00:00
821869301   24:00:00
262838873   24:00:00
347926023   24:00:00
651492248   24:00:00
685971531   24:00:00
656754496   24:00:00
884388382   24:00:00
986023642   24:00:00
861838411   24:00:00
317281632   24:00:00
354767560   24:00:00
245759440   24:00:00
800225107   24:00:00
270478036   24:00:00
947059107   24:00:00
994130583   24:00:00
776173857   24:00:00
582321618   24:00:00
150954184   24:00:00
968083134   24:00:00
387761231   24:00:00
331941645   24:00:00
549319900   24:00:00
614915093   24:00:00
502741591   24:00:00
473794384   24:00:00
568335822   24:00:00
585436096   24:00:00
205902792   24:00:00
831841696   24:00:00
831780239   24:00:00
942485801   24:00:00
378046859   24:00:00
618015127   24:00:00
131695967   24:00:00
582574773   24:00:00
136545077   24:00:00
877294909   24:00:00
242588608   24:00:00
652084999   24:00:00
195173399   24:00:00
913282807   24:00:00
788496476   24:00:00
126126851   24:00:00
798346136   24:00:00
396683914   24:00:00
994620093   24:00:00
341644089   24:00:00
432877442   24:00:00
953027569   24:00:00
621817180   24:00:00
983909493   24:00:00
113647846   24:00:00
800429723   24:00:00
604230540   24:00:00
950071701   24:00:00
587371075   24:00:00
735350635   24:00:00
720042545   24:00:00
231539436   24:00:00
641848430   24:00:00
754435744   24:00:00
703570461   24:00:00
246486392   24:00:00
431428519   24:00:00
211200224   24:00:00
142477472   24:00:00
363739569   24:00:00
763626416   24:00:00
194065478   24:00:00
278763355   24:00:00
237730350   24:00:00
429181881   24:00:00
459867830   24:00:00
950998365   24:00:00
573159434   24:00:00
487462235   24:00:00
959265275   24:00:00
278883214   24:00:00
605600609   24:00:00
370543042   24:00:00
282331613   24:00:00
832789302   24:00:00
167799915   24:00:00
558069053   24:00:00
635698294   24:00:00
589014941   24:00:00
744970825   24:00:00
681192282   24:00:00
302294795   24:00:00
508798384   24:00:00
750111091   24:00:00
229516607   24:00:00
349270696   24:00:00
892388987   24:00:00
698792376   24:00:00
486159316   24:00:00
895744557   24:00:00
764619829   24:00:00
136242853   24:00:00
206754805   24:00:00
494088050   24:00:00
988103612   24:00:00
772259564   24:00:00
540053954   24:00:00
850085449   24:00:00
765434299   24:00:00
516995240   24:00:00
472528209   24:00:00
706594924   24:00:00
451297352   24:00:00
632519902   24:00:00
743045520   24:00:00
406477876   24:00:00
635849425   24:00:00
140743074   24:00:00
467396276   24:00:00
654678856   24:00:00
281265085   24:00:00
647221197   24:00:00
923650533   24:00:00
550327464   24:00:00
198360372   24:00:00
155164289   24:00:00
561660517   24:00:00
345171491   24:00:00
957641213   24:00:00
965547782   24:00:00
662331373   24:00:00
677450183   24:00:00
895709300   24:00:00
763217678   24:00:00
841615748   24:00:00
694071667   24:00:00
965083518   24:00:00
981588477   24:00:00
861765446   24:00:00
742908077   24:00:00
177228365   24:00:00
307625943   24:00:00
554340199   24:00:00
384077812   24:00:00
546383889   24:00:00
600597432   24:00:00
899359022   24:00:00
422156746   24:00:00
379596581   24:00:00
961725521   24:00:00
831122726   24:00:00
848906441   24:00:00
447388501   24:00:00
171682680   24:00:00
838403061   24:00:00
358183164   24:00:00
421786656   24:00:00
616162786   24:00:00
479427053   24:00:00
973068913   24:00:00
246109951   24:00:00
391096501   24:00:00
785702333   24:00:00
901734050   24:00:00
319566769   24:00:00
319401710   24:00:00
851310272   24:00:00
320219610   24:00:00
860483696   24:00:00
310845971   24:00:00
317151158   24:00:00
493081927   24:00:00
545823758   24:00:00
